congress,chamber,rollnumber,icpsr,cast_code,prob
71,Senate,1,110,6,95.8
71,Senate,1,273,6,72.6
71,Senate,1,437,6,49.9
71,Senate,1,716,6,98.6
71,Senate,1,743,1,71.8
71,Senate,1,761,6,82.3
71,Senate,1,791,1,97.3
71,Senate,1,858,6,92.9
71,Senate,1,982,6,79.8
71,Senate,1,1070,6,87.5
71,Senate,1,1091,6,95.5
71,Senate,1,1322,6,97.6
71,Senate,1,1494,6,95.1
71,Senate,1,1498,6,40.9
71,Senate,1,1986,6,70.0
71,Senate,1,2062,5,93.2
71,Senate,1,2095,6,95.5
71,Senate,1,2289,6,92.0
71,Senate,1,2302,5,97.5
71,Senate,1,2494,6,96.7
71,Senate,1,2595,6,86.1
71,Senate,1,2844,6,98.3
71,Senate,1,3124,6,97.4
71,Senate,1,3216,1,38.3
71,Senate,1,3347,6,89.9
71,Senate,1,3536,1,12.4
71,Senate,1,3599,9,95.9
71,Senate,1,3625,9,71.9
71,Senate,1,3630,6,98.2
71,Senate,1,3645,6,98.1
71,Senate,1,3653,6,98.1
71,Senate,1,3721,6,97.9
71,Senate,1,3789,6,97.4
71,Senate,1,3919,6,98.4
71,Senate,1,4120,1,60.6
71,Senate,1,4126,6,35.0
71,Senate,1,4177,6,97.0
71,Senate,1,4190,6,96.1
71,Senate,1,4207,6,76.7
71,Senate,1,4227,6,71.5
71,Senate,1,4274,6,98.0
71,Senate,1,4280,1,63.6
71,Senate,1,4654,6,90.3
71,Senate,1,4962,6,93.9
71,Senate,1,5065,6,96.4
71,Senate,1,5106,6,98.5
71,Senate,1,5172,9,93.6
71,Senate,1,5227,6,98.5
71,Senate,1,5274,6,80.3
71,Senate,1,5402,6,84.7
71,Senate,1,6293,1,26.3
71,Senate,1,6349,6,89.7
71,Senate,1,6367,6,96.9
71,Senate,1,6441,6,98.5
71,Senate,1,6750,6,95.0
71,Senate,1,6954,6,92.3
71,Senate,1,6960,6,87.6
71,Senate,1,6991,6,90.4
71,Senate,1,7023,6,96.3
71,Senate,1,7120,9,53.0
71,Senate,1,7252,6,97.1
71,Senate,1,7422,6,97.1
71,Senate,1,7461,9,94.7
71,Senate,1,7473,6,71.5
71,Senate,1,7734,6,86.3
71,Senate,1,7782,6,98.0
71,Senate,1,7972,1,4.3
71,Senate,1,7986,6,47.9
71,Senate,1,8167,1,2.0
71,Senate,1,8254,6,95.0
71,Senate,1,8446,1,48.2
71,Senate,1,8476,9,89.7
71,Senate,1,8487,6,96.0
71,Senate,1,8514,1,42.5
71,Senate,1,8613,9,69.0
71,Senate,1,8713,6,97.5
71,Senate,1,8863,6,80.9
71,Senate,1,8880,6,97.0
71,Senate,1,8888,9,20.7
71,Senate,1,9106,9,58.6
71,Senate,1,9298,6,96.1
71,Senate,1,9303,1,26.2
71,Senate,1,9439,6,97.9
71,Senate,1,9456,1,32.8
71,Senate,1,9538,6,90.6
71,Senate,1,9548,1,42.9
71,Senate,1,9604,6,98.1
71,Senate,1,9713,6,46.0
71,Senate,1,9724,6,98.4
71,Senate,1,9782,6,87.7
71,Senate,1,9788,6,68.7
71,Senate,1,9842,6,97.9
71,Senate,1,9862,6,83.0
71,Senate,1,9875,6,96.9
71,Senate,1,9984,6,84.7
71,Senate,2,110,6,96.2
71,Senate,2,273,9,65.2
71,Senate,2,437,1,70.9
71,Senate,2,716,9,98.2
71,Senate,2,743,1,88.1
71,Senate,2,761,1,81.6
71,Senate,2,791,1,68.0
71,Senate,2,858,9,62.8
71,Senate,2,982,1,61.1
71,Senate,2,1070,1,67.6
71,Senate,2,1091,1,16.3
71,Senate,2,1322,6,98.2
71,Senate,2,1494,6,81.3
71,Senate,2,1498,6,27.5
71,Senate,2,1986,6,19.1
71,Senate,2,2062,1,29.7
71,Senate,2,2095,6,78.3
