congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
73,President,99899,99,0,USA,100,0,0,"ROOSEVELT, Franklin Delano",,1882,1945,-0.368,0.245,-6.4632,0.787,27,1,,,
73,Senate,404,41,0,AL,100,0,1,"BANKHEAD, John Hollis II",B000111,1872,1946,-0.284,0.313,-69.00588,0.717,207,34,,-0.635,0.024
73,Senate,743,41,0,AL,100,0,1,"BLACK, Hugo Lafayette",B000499,1886,1971,-0.46,0.468,-76.16535,0.678,196,35,,-0.25,0.633
73,Senate,273,61,0,AZ,100,0,1,"ASHURST, Henry Fountain",A000319,1874,1962,-0.231,0.211,-67.6164,0.685,179,30,,-0.226,0.447
73,Senate,4227,61,0,AZ,100,0,1,"HAYDEN, Carl Trumbull",H000385,1877,1972,-0.221,0.334,-73.24465,0.706,210,31,,-0.259,0.25
73,Senate,1497,42,0,AR,100,0,1,"CARAWAY, Hattie Wyatt",C000138,1878,1950,-0.179,0.691,-68.93155,0.69,186,37,,-0.019,0.983
73,Senate,7986,42,0,AR,100,0,1,"ROBINSON, Joseph Taylor",R000347,1872,1937,-0.425,-0.275,-37.52101,0.837,211,9,,-0.552,-0.38
73,Senate,4962,71,0,CA,200,0,1,"JOHNSON, Hiram Warren",J000140,1866,1945,0.294,0.714,-86.67045,0.62,181,44,,0.218,0.653
73,Senate,6119,71,0,CA,100,0,1,"McADOO, William Gibbs",M000293,1863,1941,-0.179,0.381,-58.8897,0.574,106,31,,-0.021,0.417
73,Senate,22,62,0,CO,100,0,1,"ADAMS, Alva Blanchard",A000028,1875,1941,-0.064,0.228,-109.86806,0.606,219,62,,-0.037,0.287
73,Senate,2083,62,0,CO,100,0,1,"COSTIGAN, Edward Prentiss",C000797,1874,1939,-0.031,0.961,-48.89397,0.76,178,24,,-0.032,0.992
73,Senate,5752,1,0,CT,100,0,1,"LONERGAN, Augustine",L000409,1874,1947,-0.244,-0.363,-84.71512,0.674,215,38,,-0.186,-0.178
73,Senate,9724,1,0,CT,200,0,1,"WALCOTT, Frederic Collin",W000032,1869,1949,0.415,-0.769,-24.08899,0.871,175,9,,0.342,-0.614
73,Senate,4177,11,0,DE,200,0,1,"HASTINGS, Daniel Oren",H000325,1874,1966,0.594,-0.494,-22.46439,0.888,189,8,,0.546,-0.489
73,Senate,9439,11,0,DE,200,0,1,"TOWNSEND, John Gillis, Jr.",T000335,1871,1964,0.491,-0.311,-33.68623,0.842,196,15,,0.506,-0.194
73,Senate,3216,43,0,FL,100,0,1,"FLETCHER, Duncan Upshaw",F000200,1859,1936,-0.365,-0.37,-58.35795,0.728,184,24,,-0.325,-0.184
73,Senate,9456,43,0,FL,100,0,1,"TRAMMELL, Park",T000353,1876,1936,-0.278,0.114,-84.41294,0.574,152,41,,-0.097,0.407
73,Senate,3536,44,0,GA,100,0,1,"GEORGE, Walter Franklin",G000131,1878,1957,-0.064,0.363,-90.29337,0.634,198,52,,-0.208,0.125
73,Senate,8138,44,0,GA,100,0,2,"RUSSELL, Richard Brevard, Jr.",R000536,1897,1971,0.005,1.0,-93.00181,0.635,205,49,,-0.039,0.673
73,Senate,858,63,0,ID,200,0,1,"BORAH, William Edgar",B000634,1865,1940,0.191,0.704,-89.5462,0.616,185,44,,0.287,0.752
73,Senate,7524,63,0,ID,100,0,1,"POPE, James Pinckney",P000430,1884,1966,-0.15,0.753,-58.69633,0.758,212,27,,-0.167,0.794
73,Senate,2589,21,0,IL,100,0,1,"DIETERICH, William Henry",D000339,1876,1940,-0.48,-0.389,-40.89274,0.809,193,15,,-0.419,-0.34
73,Senate,5641,21,0,IL,100,0,1,"LEWIS, James Hamilton",L000284,1863,1939,-0.379,-0.141,-45.20547,0.754,160,17,,-0.392,-0.203
73,Senate,7972,22,0,IN,200,0,1,"ROBINSON, Arthur Raymond",R000332,1881,1961,0.419,0.472,-70.84008,0.683,186,35,,0.409,0.711
73,Senate,9626,22,0,IN,100,0,1,"VAN NUYS, Frederick",V000050,1874,1944,-0.115,0.192,-79.43266,0.661,192,41,,-0.203,0.204
73,Senate,2575,31,0,IA,200,0,1,"DICKINSON, Lester Jesse",D000323,1873,1968,0.485,0.351,-74.00977,0.706,213,38,,0.529,0.303
73,Senate,6815,31,0,IA,100,0,1,"MURPHY, Richard Louis",M001103,1875,1936,-0.143,0.443,-87.9197,0.661,212,40,,-0.246,0.357
73,Senate,1494,32,0,KS,200,0,1,"CAPPER, Arthur",C000133,1865,1951,0.262,0.55,-99.62864,0.626,213,54,,0.175,0.662
73,Senate,6251,32,0,KS,100,0,1,"McGILL, George",M000447,1879,1963,-0.072,0.756,-82.69106,0.675,210,39,,-0.036,0.775
73,Senate,437,51,0,KY,100,0,1,"BARKLEY, Alben William",B000145,1877,1956,-0.375,0.087,-46.42364,0.801,209,20,,-0.521,-0.229
73,Senate,5747,51,0,KY,100,0,1,"LOGAN, Marvel Mills",L000404,1874,1939,-0.392,0.082,-84.83195,0.624,180,41,,-0.227,0.229
73,Senate,5758,45,0,LA,100,0,1,"LONG, Huey Pierce",L000418,1893,1935,0.251,0.862,-74.86416,0.674,190,30,,0.292,0.956
73,Senate,7126,45,0,LA,100,0,1,"OVERTON, John Holmes",O000146,1875,1948,-0.053,0.674,-101.13828,0.598,197,48,,0.015,0.594
73,Senate,3919,2,0,ME,200,0,1,"HALE, Frederick",H000031,1874,1963,0.403,-0.41,-50.24458,0.789,212,25,,0.317,-0.525
73,Senate,10047,2,0,ME,200,0,1,"WHITE, Wallace Humphrey, Jr.",W000396,1877,1952,0.323,-0.313,-48.60875,0.774,190,25,,0.59,-0.166
73,Senate,3653,52,0,MD,200,0,1,"GOLDSBOROUGH, Phillips Lee",G000262,1865,1946,0.472,-0.49,-26.7697,0.882,214,6,,0.591,-0.661
73,Senate,9538,52,0,MD,100,0,1,"TYDINGS, Millard Evelyn",T000446,1890,1961,-0.111,-0.154,-85.95131,0.62,180,42,,-0.363,-0.932
73,Senate,2035,3,0,MA,100,0,1,"COOLIDGE, Marcus Allen",C000740,1865,1947,-0.355,-0.556,-55.40855,0.749,192,24,,-0.467,-0.653
73,Senate,9782,3,0,MA,100,0,1,"WALSH, David Ignatius",W000097,1872,1947,-0.11,0.108,-91.0125,0.644,207,40,,-0.234,-0.153
73,Senate,2095,23,0,MI,200,0,1,"COUZENS, James",C000812,1872,1936,0.157,0.354,-116.92129,0.524,181,67,,0.037,0.425
73,Senate,9604,23,0,MI,200,0,1,"VANDENBERG, Arthur Hendrick",V000025,1884,1951,0.207,-0.172,-111.19733,0.581,205,59,,0.389,0.33
73,Senate,8254,33,0,MN,200,0,1,"SCHALL, Thomas David",S000113,1878,1935,0.321,0.595,-81.67326,0.661,197,34,,0.522,0.598
73,Senate,8476,33,0,MN,537,0,1,"SHIPSTEAD, Henrik",S000369,1881,1960,0.21,0.978,-59.44165,0.74,197,27,,0.207,0.978
73,Senate,4126,46,0,MS,100,0,1,"HARRISON, Byron Patton (Pat)",H000265,1881,1941,-0.483,-0.187,-40.18693,0.827,211,12,,-0.56,-0.379
73,Senate,8888,46,0,MS,100,0,1,"STEPHENS, Hubert Durrett",S000857,1875,1946,-0.558,-0.04,-70.01825,0.673,177,34,,-0.413,-0.068
73,Senate,1772,34,0,MO,100,0,1,"CLARK, Joel Bennett",C000440,1890,1954,0.044,0.506,-132.07135,0.539,214,75,,-0.013,0.436
73,Senate,7252,34,0,MO,200,0,1,"PATTERSON, Roscoe Conkling",P000127,1876,1954,0.505,0.045,-44.22341,0.792,190,16,,0.659,-0.041
73,Senate,2980,64,0,MT,100,1,5,"ERICKSON, John Edward",E000202,1863,1946,-0.116,0.752,-55.5795,0.744,188,23,,-0.114,0.754
73,Senate,6820,64,0,MT,100,3,2,"MURRAY, James Edward",M001108,1876,1961,-0.432,0.35,,,,,,,
73,Senate,9788,64,0,MT,100,5,1,"WALSH, Thomas James",W000104,1859,1933,-0.267,0.13,,,,,,,
73,Senate,9984,64,0,MT,100,0,1,"WHEELER, Burton Kendall",W000330,1882,1975,0.065,0.998,-48.12362,0.761,176,23,,0.055,0.998
73,Senate,4654,35,0,NE,200,1,1,"HOWELL, Robert Beecher",H000868,1864,1933,0.228,0.956,,,,,,,
73,Senate,6960,35,0,NE,200,0,1,"NORRIS, George William",N000139,1861,1944,0.134,0.991,-71.99861,0.7,202,34,,0.037,0.909
73,Senate,9346,35,0,NE,100,2,5,"THOMPSON, William Henry",T000225,1853,1937,-0.306,0.301,-45.64929,0.738,150,18,,-0.297,0.326
73,Senate,6132,65,0,NV,100,0,1,"McCARRAN, Patrick Anthony (Pat)",M000308,1876,1954,0.06,0.659,-89.24368,0.63,193,46,,0.124,0.748
73,Senate,7473,65,0,NV,100,0,1,"PITTMAN, Key",P000372,1872,1940,-0.269,-0.028,-35.20165,0.736,115,13,,-0.271,0.347
73,Senate,1109,4,0,NH,100,0,1,"BROWN, Fred Herbert",B000916,1879,1955,-0.395,0.042,-64.19985,0.736,209,27,,-0.422,0.132
73,Senate,5227,4,0,NH,200,0,1,"KEYES, Henry Wilder",K000161,1863,1938,0.389,-0.435,-34.73146,0.838,196,17,,0.309,-0.605
73,Senate,425,12,0,NJ,200,0,2,"BARBOUR, William Warren",B000132,1888,1943,0.154,-0.584,-47.89728,0.793,206,21,,0.361,-0.601
73,Senate,5106,12,0,NJ,200,0,1,"KEAN, Hamilton Fish",K000026,1862,1941,0.396,-0.514,-35.07489,0.838,198,16,,0.362,-0.721
73,Senate,982,66,0,NM,100,1,1,"BRATTON, Sam Gilbert",B000774,1888,1963,-0.168,0.261,-31.12992,0.681,81,16,,-0.213,0.327
73,Senate,2289,66,0,NM,200,0,1,"CUTTING, Bronson Murray",C001028,1888,1935,0.227,0.833,-73.49976,0.654,173,38,,0.217,0.976
73,Senate,4184,66,0,NM,100,2,5,"HATCH, Carl Atwood",H000334,1889,1963,-0.241,0.285,-37.48971,0.732,120,16,,-0.172,0.581
73,Senate,2062,13,0,NY,100,0,1,"COPELAND, Royal Samuel",C000769,1868,1938,-0.028,0.029,-99.5251,0.545,164,51,,-0.027,0.048
73,Senate,9713,13,0,NY,100,0,1,"WAGNER, Robert Ferdinand",W000021,1877,1953,-0.458,-0.482,-64.13322,0.699,179,26,,-0.495,-0.523
73,Senate,349,47,0,NC,100,0,1,"BAILEY, Josiah William",B000046,1873,1946,-0.118,-0.15,-83.47043,0.653,196,42,,-0.219,-0.459
73,Senate,7836,47,0,NC,100,0,1,"REYNOLDS, Robert Rice",R000179,1884,1963,-0.039,0.63,-96.0493,0.597,186,43,,-0.031,0.464
73,Senate,3347,36,0,ND,200,0,1,"FRAZIER, Lynn Joseph",F000354,1874,1947,0.221,0.975,-64.26344,0.739,212,25,,0.275,0.962
73,Senate,6991,36,0,ND,200,0,1,"NYE, Gerald Prentice",N000176,1892,1971,0.246,0.969,-58.12915,0.755,207,20,,0.296,0.955
73,Senate,1224,24,0,OH,100,0,1,"BULKLEY, Robert Johns",B001045,1880,1965,-0.242,-0.284,-78.88444,0.683,207,40,,-0.241,-0.244
73,Senate,3124,24,0,OH,200,0,1,"FESS, Simeon Davison",F000096,1861,1936,0.481,-0.029,-50.61329,0.764,188,17,,0.49,-0.745
73,Senate,3706,53,0,OK,100,0,1,"GORE, Thomas Pryor",G000323,1870,1949,-0.127,0.253,-141.76688,0.451,178,61,,-0.092,-0.22
73,Senate,9303,53,0,OK,100,0,1,"THOMAS, John William Elmer",T000177,1876,1965,-0.16,0.618,-80.1437,0.656,190,37,,-0.088,0.661
73,Senate,6367,72,0,OR,200,0,1,"McNARY, Charles Linza",M000583,1874,1944,0.276,0.277,-85.98165,0.664,210,48,,0.291,0.107
73,Senate,8880,72,0,OR,200,0,1,"STEIWER, Frederick",S000848,1883,1939,0.424,0.217,-92.95672,0.652,217,52,,0.352,0.243
73,Senate,2391,14,0,PA,200,0,1,"DAVIS, James John",D000111,1873,1947,0.229,0.1,-46.5707,0.71,136,21,,0.404,0.163
73,Senate,7782,14,0,PA,200,0,1,"REED, David Aiken",R000114,1880,1953,0.478,-0.81,-27.2055,0.844,160,11,,0.362,-0.886
73,Senate,4274,5,0,RI,200,0,1,"HÉBERT, Felix",H000436,1874,1969,0.466,-0.885,-22.71492,0.891,197,9,,0.5,-0.866
73,Senate,6441,5,0,RI,200,0,1,"METCALF, Jesse Houghton",M000670,1860,1942,0.342,-0.94,-24.2195,0.878,186,11,,0.342,-0.94
73,Senate,1370,48,0,SC,100,0,1,"BYRNES, James Francis",B001215,1882,1972,-0.467,-0.028,-49.8897,0.788,209,11,,-0.512,-0.351
73,Senate,8613,48,0,SC,100,0,1,"SMITH, Ellison DuRant",S000530,1864,1944,-0.298,-0.137,-78.63826,0.641,177,37,,-0.285,0.154
73,Senate,1234,37,0,SD,100,0,1,"BULOW, William John",B001055,1869,1960,0.014,0.802,-81.56923,0.664,199,44,,-0.277,0.57
73,Senate,6954,37,0,SD,200,0,1,"NORBECK, Peter",N000132,1870,1936,0.281,0.852,-34.04694,0.66,82,18,,0.164,0.986
73,Senate,319,54,0,TN,100,0,5,"BACHMAN, Nathan Lynn",B000010,1878,1937,-0.312,0.108,-72.4065,0.702,205,37,,-0.244,0.209
73,Senate,4717,54,0,TN,100,0,1,"HULL, Cordell",H000940,1871,1955,-0.435,0.139,,,,,,0.724,0.69
73,Senate,6293,54,0,TN,100,0,1,"McKELLAR, Kenneth Douglas",M000499,1869,1957,-0.209,0.312,-65.74196,0.732,211,25,,-0.39,0.24
73,Senate,1986,49,0,TX,100,0,1,"CONNALLY, Thomas Terry (Tom)",C000684,1877,1963,-0.195,0.581,-101.74028,0.617,211,53,,-0.226,0.235
73,Senate,8446,49,0,TX,100,0,1,"SHEPPARD, Morris",S000337,1875,1941,-0.355,0.176,-51.48678,0.787,215,21,,-0.513,0.105
73,Senate,5274,67,0,UT,100,0,1,"KING, William Henry",K000216,1863,1949,-0.224,-0.165,-71.39497,0.652,167,24,,-0.23,-0.105
73,Senate,9291,67,0,UT,100,0,1,"THOMAS, Elbert Duncan",T000164,1883,1953,-0.317,0.237,-77.78886,0.685,206,32,,-0.182,0.366
73,Senate,296,6,0,VT,200,0,2,"AUSTIN, Warren Robinson",A000342,1877,1962,0.106,-0.515,-55.57513,0.758,201,25,,0.327,-0.63
73,Senate,2302,6,0,VT,200,1,1,"DALE, Porter Hinman",D000009,1867,1933,0.431,0.048,-12.12365,0.764,45,4,,0.505,-0.069
73,Senate,3558,6,0,VT,200,2,5,"GIBSON, Ernest Willard",G000158,1872,1940,0.255,-0.018,,,,,,0.284,0.109
73,Senate,1365,40,0,VA,100,0,5,"BYRD, Harry Flood",B001208,1887,1966,0.188,0.564,-174.77619,0.399,190,100,,-0.173,-0.139
73,Senate,3625,40,0,VA,100,0,1,"GLASS, Carter",G000232,1858,1946,-0.304,-0.349,-70.02919,0.6,137,41,,-0.19,-0.428
73,Senate,843,73,0,WA,100,0,1,"BONE, Homer Truett",B000614,1883,1970,-0.047,0.946,-46.50529,0.778,185,17,,-0.006,1.0
73,Senate,2595,73,0,WA,100,0,1,"DILL, Clarence Cleveland",D000345,1884,1978,-0.022,0.635,-91.98241,0.636,203,49,,0.009,0.677
73,Senate,4190,56,0,WV,200,0,1,"HATFIELD, Henry Drury",H000342,1875,1962,0.513,0.275,-56.24822,0.747,193,29,,0.604,0.353
